code,latitude,longitude
10000,37.566953,126.977977
10010,37.518421,127.047222
10020,37.530492,127.123837
10030,37.639938,127.025508
10040,37.551166,126.849506
10050,37.47829,126.951502
10060,37.538712,127.082366
10070,37.495632,126.88765
10080,37.456852,126.895229
10090,37.654259,127.056294
10100,37.668952,127.047082
10110,37.574552,127.039721
10120,37.510571,126.963604
10130,37.566283,126.901644
10140,37.579428,126.936771
10150,37.483804,127.032693
10160,37.563277,127.036647
10170,37.589562,127.0167
10180,37.51462,127.106141
10190,37.517189,126.866618
10200,37.526505,126.89619
10210,37.532768,126.990021
10220,37.603481,126.929173
10230,37.572999,126.979189
10240,37.563988,126.99753
10250,37.606832,127.092656
11000,35.179884,129.074796
11010,35.212424,128.98068
11020,35.243053,129.092163
11030,35.244881,129.222253
11040,35.136789,129.08414
11050,35.129432,129.04554
11060,35.20506,129.083673
11070,35.163332,129.053058
11080,35.197483,128.990224
11090,35.152777,128.991142
11100,35.104642,128.974792
11110,35.098135,129.024193
11120,35.145805,129.113194
11130,35.176406,129.079566
11140,35.091362,129.067884
11150,35.106321,129.032256
11160,35.16336,129.163594
12000,35.87215,128.601783
12010,35.8463,128.597723
12020,35.830128,128.532635
12030,35.77475,128.431314
12040,35.886836,128.635537
12050,35.892506,128.583779
12060,35.871993,128.559182
12070,35.858395,128.630551
12080,35.869551,128.606184
13000,35.160467,126.851392
13010,35.139941,126.7937
13020,35.132982,126.902379
13030,35.14626,126.923133
13040,35.174434,126.912061
13050,35.152516,126.889614
14000,37.456188,126.70592
14010,37.747065,126.487777
14020,37.537537,126.737712
14030,37.463572,126.65027
14040,37.44727,126.731429
14050,37.474101,126.643266
14060,37.507031,126.721804
14070,37.545557,126.675994
14080,37.410262,126.678309
14090,37.446777,126.636747
14100,37.473761,126.621693
15000,36.350621,127.384744
15010,36.346713,127.415597
15020,36.31204,127.454742
15030,36.35553,127.383755
15040,36.362226,127.356153
15050,36.325735,127.421317
16000,35.539797,129.311538
16010,35.543833,129.330047
16020,35.504806,129.416575
16030,35.582685,129.36124
16040,35.522126,129.242507
16050,35.569468,129.332773
17000,36.480132,127.289021
20000,37.275119,127.009466
20010,37.831297,127.509555
20020,37.658363,126.831961
20030,37.42915,126.987616
20040,37.478541,126.864648
20050,37.429322,127.255153
20060,37.594267,127.129549
20070,37.361653,126.935206
20080,37.615238,126.715601
20090,37.635791,127.216552
20100,37.903568,127.060347
20110,37.503393,126.766049
20120,37.42,127.126703
20130,37.263376,127.028613
20140,37.38011,126.803009
20150,37.321863,126.83092
20160,37.008008,127.279763
20170,37.394258,126.956752
20180,37.785253,127.045823
20190,37.491744,127.48757
20200,37.298209,127.637351
20210,38.096409,127.075067
20220,37.149854,127.077461
20230,37.240985,127.17805
20240,37.344649,126.968299
20250,37.738058,127.033716
20260,37.272169,127.434991
20270,37.759818,126.7799
20280,36.992293,127.112709
20290,37.894881,127.200346
20300,37.53926,127.214944
20310,37.199536,126.83133
30000,37.885369,127.729868
30010,37.75197,128.875928
30020,38.380571,128.467827
30030,37.524689,129.114239
30040,37.449899,129.165365
30050,38.207022,128.591861
30060,38.110002,127.990092
30070,38.075405,128.619125
30080,37.183694,128.461835
30090,37.341963,127.919668
30100,38.069682,128.170335
30110,37.38062,128.660873
30120,38.146693,127.3134
30130,37.881281,127.730088
30140,37.16406,128.985736
30150,37.370743,128.390335
30160,37.697037,127.888821
30170,38.106152,127.708163
30180,37.491702,127.985042
40000,36.63568,127.491384
40010,36.81534,127.786651
40020,36.984657,128.365476
40030,36.489402,127.729503
40040,36.175017,127.783431
40050,36.306367,127.57128
40060,36.940237,127.690502
40070,37.132583,128.190946
40080,36.785301,127.581481
40090,36.855374,127.435635
40100,36.641876,127.488759
40110,36.991009,127.925946
41000,36.658976,126.673318
41010,36.274481,127.248557
41020,36.446508,127.11903
41030,36.108887,127.487966
41040,36.187076,127.098959
41050,36.889777,126.645814
41060,36.333317,126.612679
41070,36.275673,126.90979
41080,36.784751,126.450289
41090,36.080266,126.691394
41100,36.789844,127.00242
41110,36.680222,126.844687
41120,36.81498,127.113868
41130,36.459129,126.802333
41140,36.745577,126.29795
41150,36.60126,126.660772
50000,35.820308,127.108791
50010,35.435767,126.702152
50020,35.967631,126.737011
50030,35.803506,126.880507
50040,35.416349,127.390265
50050,36.006777,127.660789
50060,35.731805,126.733347
50070,35.374421,127.137597
50080,35.904724,127.162209
50090,35.948229,126.957792
50100,35.617891,127.288868
50110,35.647281,127.521204
50120,35.824069,127.14805
50130,35.569768,126.856148
50140,35.791669,127.424806
51000,34.816095,126.463021
51010,34.642006,126.767267
51020,34.61117,127.285055
51030,35.282015,127.292107
51040,34.940611,127.696142
51050,35.202521,127.462789
51060,35.015818,126.710826
51070,35.321144,126.988229
51080,34.811809,126.392198
51090,34.990368,126.481653
51100,34.771453,127.080097
51110,34.950592,127.487396
51120,34.833564,126.351636
51130,34.760421,127.662287
51140,35.277188,126.512087
51150,34.800192,126.696802
51160,34.310983,126.755076
51170,35.301826,126.784893
51180,34.681616,126.90708
51190,34.486834,126.263554
51200,35.065927,126.516688
51210,34.573374,126.59925
51220,35.064456,126.986643
60000,36.576032,128.505599
60010,35.825056,128.741544
60020,35.856185,129.224796
60030,35.72615,128.26295
60040,36.119641,128.344295
60050,36.242926,128.572939
60060,36.139875,128.11365
60070,36.586831,128.18709
60080,36.893099,128.732568
60090,36.410977,128.159024
60100,35.919325,128.283237
60110,36.568441,128.729551
60120,36.415059,129.366107
60130,36.666664,129.112401
60140,36.805702,128.623958
60150,35.973268,128.938603
60160,36.646707,128.437435
60170,37.484438,130.905883
60180,36.993078,129.400585
